,Close,compound,negative,neutral,positive,Open,High,Low,Volume
2016-01-18,101.41999799999999,-0.9989,0.115,0.788,0.097,98.410004,101.459999,93.41999799999999,243384100.0
2016-01-25,97.339996,-0.9995,0.13,0.768,0.102,101.519997,101.529999,92.389999,380336500.0
2016-02-01,94.019997,-0.9746,0.111,0.78,0.109,96.470001,97.33000200000001,93.690002,217154800.0
2016-02-08,93.989998,-0.995,0.111,0.784,0.105,93.129997,96.349998,92.589996,231122300.0
2016-02-15,96.040001,-0.9972,0.116,0.776,0.108,95.019997,98.889999,94.610001,168316300.0
2016-02-22,96.910004,-0.999,0.118,0.781,0.101,96.309998,98.019997,93.32,159052900.0
2016-02-29,103.010002,0.9985,0.117,0.751,0.132,96.860001,103.75,96.650002,201803800.0
2016-03-07,102.260002,-0.9994,0.133,0.756,0.111,102.389999,102.83000200000001,100.150002,155514300.0
2016-03-14,105.91999799999999,-0.9996,0.136,0.756,0.108,101.910004,106.5,101.779999,182073200.0
2016-03-21,105.66999799999999,-0.9997,0.134,0.77,0.096,105.93,107.650002,104.889999,119783600.0
2016-03-28,109.989998,-0.9998,0.135,0.78,0.085,106.0,110.41999799999999,104.879997,147965000.0
2016-04-04,108.660004,0.9967,0.085,0.822,0.093,110.41999799999999,112.190002,108.120003,145722600.0
2016-04-11,109.849998,-0.9995,0.128,0.769,0.103,108.970001,112.389999,108.660004,162310000.0
2016-04-18,105.68,-0.9996,0.118,0.791,0.091,108.889999,108.949997,104.620003,189065500.0
2016-04-25,93.739998,-0.9999,0.147,0.763,0.089,105.0,105.650002,92.510002,349424100.0
2016-05-02,92.720001,-0.9998,0.143,0.752,0.105,93.970001,95.900002,91.849998,225365600.0
2016-05-09,90.519997,-0.9999,0.141,0.775,0.084,93.0,93.769997,89.470001,216049800.0
2016-05-16,95.220001,-0.9998,0.144,0.753,0.103,92.389999,95.43,91.650002,212707200.0
2016-05-23,100.349998,-0.9999,0.148,0.757,0.095,95.870003,100.730003,95.66999799999999,203888300.0
2016-05-30,97.91999799999999,-0.9999,0.148,0.765,0.087,99.599998,100.400002,96.629997,139735000.0
2016-06-06,98.83000200000001,-0.9998,0.129,0.794,0.077,97.989998,101.889999,97.550003,124864400.0
2016-06-13,95.33000200000001,-0.9998,0.147,0.746,0.107,98.690002,99.120003,95.300003,191732600.0
2016-06-20,93.400002,-0.9999,0.14,0.784,0.075,96.0,96.889999,92.650002,206729000.0
2016-06-27,95.889999,0.9897,0.102,0.788,0.11,93.0,96.470001,91.5,184328400.0
2016-07-04,96.68,-0.9986,0.118,0.783,0.099,95.389999,96.889999,94.370003,112706000.0
2016-07-11,98.779999,-0.9998,0.143,0.761,0.095,96.75,99.300003,96.730003,142910600.0
2016-07-18,98.660004,-0.9998,0.137,0.763,0.101,98.699997,101.0,98.309998,147565500.0
2016-07-25,104.209999,-0.9999,0.152,0.772,0.076,98.25,104.550003,96.41999799999999,256571000.0
2016-08-01,107.480003,-0.9998,0.143,0.749,0.108,104.410004,107.650002,104.0,170149200.0
2016-08-08,108.18,-0.9997,0.135,0.762,0.102,107.519997,108.940002,107.160004,124505800.0
2016-08-15,109.360001,-0.9985,0.131,0.748,0.121,108.139999,110.230003,108.08000200000001,132371400.0
2016-08-22,106.940002,-0.9993,0.128,0.765,0.107,108.860001,109.32,106.309998,123605500.0
2016-08-29,107.730003,-0.9999,0.149,0.756,0.095,106.620003,108.0,105.5,133000600.0
2016-09-05,103.129997,0.9791,0.077,0.84,0.084,107.900002,108.760002,103.129997,168803700.0
2016-09-12,114.91999799999999,-0.9997,0.124,0.786,0.089,102.650002,116.129997,102.529999,388228200.0
2016-09-19,112.709999,-0.9992,0.113,0.8,0.087,115.190002,116.18,111.550003,201095700.0
